annotation_id,participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,description
P01_01_NC_22,P01,P01_01,00:04:58.450,00:04:58.742,7162800,7169808,clang / clatter
P01_01_NC_23,P01,P01_01,00:05:09.909,00:05:10.138,7437816,7443311,put object on surface
P01_01_NC_24,P01,P01_01,00:05:19.429,00:05:19.784,7666295,7674816,clang / clatter
P01_01_NC_25,P01,P01_01,00:05:46.846,00:05:48.575,8324304,8365800,clang / clatter
P01_01_NC_26,P01,P01_01,00:06:00.846,00:06:01.096,8660304,8666304,clang / clatter
P01_01_NC_27,P01,P01_01,00:06:06.575,00:06:06.784,8797800,8802816,clang / clatter
P01_01_NC_28,P01,P01_01,00:06:26.218,00:06:26.655,9269232,9279720,clang / clatter
P01_01_NC_29,P01,P01_01,00:06:27.301,00:06:27.884,9295224,9309216,clang / clatter
P01_01_NC_30,P01,P01_01,00:07:30.884,00:07:44.423,10821216,11146152,stir / mix / whisk food
P01_01_NC_31,P01,P01_01,00:07:49.257,00:07:49.917,11262168,11278008,clang / clatter
P01_01_NC_32,P01,P01_01,00:07:52.704,00:07:53.244,11344896,11357856,clang / clatter
P01_01_NC_33,P01,P01_01,00:07:55.114,00:07:55.489,11402736,11411736,clang / clatter
P01_01_NC_34,P01,P01_01,00:08:02.509,00:08:03.229,11580216,11597496,clang / clatter
P01_01_NC_35,P01,P01_01,00:08:13.531,00:08:14.440,11844744,11866560,clang / clatter
P01_01_NC_36,P01,P01_01,00:08:15.823,00:08:16.219,11899752,11909256,clang / clatter
P01_01_NC_37,P01,P01_01,00:08:17.281,00:08:19.381,11934744,11985144,clang / clatter
P01_01_NC_38,P01,P01_01,00:08:19.924,00:08:20.564,11998176,12013536,clang / clatter
P01_01_NC_39,P01,P01_01,00:08:32.344,00:08:32.944,12296256,12310655,clang / clatter
P01_01_NC_40,P01,P01_01,00:08:35.238,00:08:35.978,12365712,12383471,put object on surface
P01_01_NC_41,P01,P01_01,00:08:38.052,00:08:38.406,12433248,12441743,clang / clatter
P01_01_NC_42,P01,P01_01,00:08:39.864,00:08:40.544,12476736,12493056,clang / clatter
P01_01_NC_43,P01,P01_01,00:08:42.239,00:08:42.469,12533736,12539256,clang / clatter
P01_01_NC_44,P01,P01_01,00:08:59.489,00:09:00.489,12947736,12971736,clang / clatter
P01_01_NC_45,P01,P01_01,00:09:19.073,00:09:19.364,13417752,13424736,clang / clatter
P01_01_NC_46,P01,P01_01,00:09:20.031,00:09:20.844,13440743,13460256,clang / clatter
P01_01_NC_47,P01,P01_01,00:09:25.531,00:09:26.191,13572743,13588584,clang / clatter
P01_01_NC_48,P01,P01_01,00:09:34.187,00:09:35.187,13780488,13804488,clang / clatter
P01_01_NC_49,P01,P01_01,00:10:42.534,00:10:43.297,15420816,15439128,put object on surface
P01_01_NC_50,P01,P01_01,00:10:52.951,00:10:53.826,15670824,15691824,clang / clatter
P01_01_NC_51,P01,P01_01,00:10:57.581,00:10:59.486,15781944,15827664,scrub / scrape / scour / wipe
P01_01_NC_52,P01,P01_01,00:11:12.618,00:11:13.597,16142832,16166328,clang / clatter
P01_01_NC_53,P01,P01_01,00:11:44.460,00:11:44.854,16907040,16916496,clang / clatter
P01_01_NC_54,P01,P01_01,00:11:52.693,00:11:53.130,17104632,17115120,clang / clatter
P01_01_NC_55,P01,P01_01,00:11:57.784,00:11:58.305,17226816,17239320,put object on surface
P01_01_NC_56,P01,P01_01,00:12:09.585,00:12:10.131,17510040,17523144,clang / clatter
P01_01_NC_57,P01,P01_01,00:12:17.580,00:12:29.508,17701920,17988192,stir / mix / whisk food
P01_01_NC_58,P01,P01_01,00:12:29.761,00:12:30.428,17994264,18010272,put object on surface
P01_01_NC_59,P01,P01_01,00:12:32.210,00:12:32.540,18053040,18060960,clang / clatter
P01_01_NC_60,P01,P01_01,00:13:10.217,00:13:10.558,18965208,18973392,clang / clatter
P01_01_NC_61,P01,P01_01,00:13:15.532,00:13:15.949,19092768,19102776,put object on surface
P01_01_NC_62,P01,P01_01,00:13:24.702,00:13:26.229,19312848,19349496,stir / mix / whisk food
P01_01_NC_63,P01,P01_01,00:13:35.324,00:13:39.594,19567776,19670256,stir / mix / whisk food
P01_01_NC_64,P01,P01_01,00:13:48.802,00:13:49.363,19891248,19904712,put object on surface
P01_01_NC_65,P01,P01_01,00:14:01.344,00:14:03.574,20192256,20245776,clang / clatter
P01_01_NC_66,P01,P01_01,00:14:05.865,00:14:06.365,20300760,20312760,clang / clatter
P01_01_NC_67,P01,P01_01,00:14:12.574,00:14:13.219,20461776,20477256,put object on surface
P01_01_NC_68,P01,P01_01,00:14:15.247,00:14:15.657,20525928,20535768,clang / clatter
P01_01_NC_69,P01,P01_01,00:14:19.074,00:14:19.399,20617776,20625576,clang / clatter
P01_01_NC_70,P01,P01_01,00:14:20.219,00:14:20.701,20645256,20656824,put object on surface
P01_01_NC_71,P01,P01_01,00:14:34.770,00:14:35.740,20994480,21017760,clang / clatter
P01_01_NC_72,P01,P01_01,00:14:58.513,00:14:59.211,21564312,21581064,put object on surface
P01_01_NC_73,P01,P01_01,00:15:57.729,00:15:58.374,22985496,23000976,put object on surface
P01_01_NC_74,P01,P01_01,00:16:08.251,00:16:08.704,23238024,23248896,clang / clatter
P01_01_NC_75,P01,P01_01,00:16:27.492,00:16:27.999,23699808,23711976,put object on surface
P01_01_NC_76,P01,P01_01,00:16:46.316,00:16:47.293,24151584,24175032,put object on surface
P01_01_NC_77,P01,P01_01,00:16:48.456,00:16:48.973,24202944,24215352,put object on surface
P01_01_NC_78,P01,P01_01,00:16:59.224,00:17:00.015,24461376,24480360,clang / clatter
P01_01_NC_79,P01,P01_01,00:17:47.774,00:17:50.932,25626575,25702368,clang / clatter
P01_01_NC_80,P01,P01_01,00:19:30.523,00:19:31.648,28092551,28119551,clang / clatter
P01_01_NC_81,P01,P01_01,00:19:39.894,00:19:40.289,28317456,28326936,put object on surface
P01_01_NC_82,P01,P01_01,00:21:04.664,00:21:04.998,30351936,30359952,put object on surface
P01_01_NC_83,P01,P01_01,00:21:14.999,00:23:17.789,30599976,33546936,background noise
P01_01_NC_84,P01,P01_01,00:21:17.184,00:21:17.622,30652416,30662928,clang / clatter
P01_01_NC_85,P01,P01_01,00:21:30.679,00:21:30.979,30976296,30983496,clang / clatter
P01_01_NC_86,P01,P01_01,00:21:53.632,00:21:53.959,31527168,31535016,clang / clatter
P01_01_NC_87,P01,P01_01,00:22:46.263,00:22:46.570,32790311,32797680,clang / clatter
P01_01_NC_88,P01,P01_01,00:22:48.592,00:22:49.413,32846208,32865912,clang / clatter
P01_01_NC_89,P01,P01_01,00:23:48.513,00:23:50.563,34284312,34333512,clang / clatter
P01_01_NC_90,P01,P01_01,00:23:51.326,00:24:09.352,34351824,34784448,background noise
P01_01_NC_91,P01,P01_01,00:23:56.519,00:23:57.039,34476456,34488936,clang / clatter
P01_01_NC_92,P01,P01_01,00:25:00.248,00:25:00.644,36005952,36015456,put object on surface
P01_01_NC_93,P01,P01_01,00:27:16.727,00:27:32.207,39281448,39652968,background noise
P01_01_NC_94,P01,P01_01,00:17:16.057,00:17:29.599,24865368,25190376,clang / clatter
P01_01_NC_95,P01,P01_01,00:00:11.752,00:00:13.523,282048,324552,clang / clatter
P01_01_NC_96,P01,P01_01,00:19:47.310,00:19:49.743,28495440,28553832,put object on surface
P01_01_NC_97,P01,P01_01,00:00:39.086,00:00:40.211,938064,965064,clang / clatter
P01_01_NC_98,P01,P01_01,00:10:15.863,00:14:25.814,14780712,20779536,background noise
P01_02_NC_0,P01,P01_02,00:00:05.275,00:00:05.614,126600,134736,clang / clatter
P01_02_NC_1,P01,P01_02,00:01:28.883,00:01:29.987,2133192,2159688,clang / clatter
P01_02_NC_2,P01,P01_02,00:03:00.041,00:03:00.461,4320984,4331064,clang / clatter
P01_02_NC_3,P01,P01_02,00:03:06.058,00:03:06.933,4465392,4486392,clang / clatter
P01_02_NC_4,P01,P01_02,00:04:05.263,00:05:46.971,5886312,8327304,back ground sound
P01_02_NC_5,P01,P01_02,00:04:09.820,00:04:12.360,5995680,6056640,water splash
P01_02_NC_6,P01,P01_02,00:04:25.774,00:04:26.789,6378576,6402936,put object on surface
P01_02_NC_7,P01,P01_02,00:04:56.184,00:04:57.284,7108416,7134816,clang / clatter
P01_02_NC_8,P01,P01_02,00:05:09.529,00:05:11.249,7428696,7469976,clang / clatter
P01_02_NC_9,P01,P01_02,00:05:17.287,00:05:20.287,7614887,7686887,clang / clatter
P01_02_NC_10,P01,P01_02,00:05:27.120,00:05:46.420,7850880,8314080,scrub / scrape / scour / wipe
P01_02_NC_11,P01,P01_02,00:05:51.743,00:05:52.520,8441832,8460480,put object on surface
P01_02_NC_12,P01,P01_02,00:06:11.366,00:06:12.066,8912784,8929584,clang / clatter
P01_02_NC_13,P01,P01_02,00:07:44.597,00:07:45.108,11150328,11162592,clang / clatter
P01_02_NC_14,P01,P01_02,00:08:05.913,00:08:06.493,11661912,11675832,clang / clatter
P01_02_NC_15,P01,P01_02,00:08:13.870,00:08:14.295,11852880,11863080,put object on surface
P01_02_NC_16,P01,P01_02,00:08:16.813,00:08:17.493,11923512,11939832,clang / clatter
P01_03_NC_0,P01,P01_03,00:00:01.654,00:00:02.639,39696,63335,clang / clatter
P01_03_NC_1,P01,P01_03,00:00:05.752,00:00:06.626,138048,159024,clang / clatter
P01_03_NC_2,P01,P01_03,00:00:11.184,00:00:12.330,268416,295920,clang / clatter
P01_03_NC_3,P01,P01_03,00:00:13.456,00:00:17.981,322944,431544,clang / clatter
P01_03_NC_4,P01,P01_03,00:00:19.711,00:00:20.031,473063,480744,put object on surface
P01_03_NC_5,P01,P01_03,00:00:21.682,00:00:22.182,520367,532368,clang / clatter
P01_03_NC_6,P01,P01_03,00:00:25.112,00:00:25.932,602688,622368,clang / clatter
P01_03_NC_7,P01,P01_03,00:00:34.271,00:00:34.791,822504,834983,clang / clatter
P01_03_NC_8,P01,P01_03,00:00:44.061,00:00:44.521,1057464,1068504,clang / clatter
P01_03_NC_9,P01,P01_03,00:00:45.275,00:00:46.184,1086600,1108416,footstep
P01_03_NC_10,P01,P01_03,00:00:51.130,00:00:51.590,1227120,1238160,put object on surface
P01_03_NC_11,P01,P01_03,00:01:05.360,00:01:05.820,1568640,1579679,clang / clatter
P01_03_NC_12,P01,P01_03,00:01:20.453,00:01:20.953,1930872,1942872,put object on surface
P01_03_NC_13,P01,P01_03,00:01:22.184,00:01:22.525,1972416,1980600,put object on surface
P01_03_NC_14,P01,P01_03,00:01:38.487,00:01:39.167,2363688,2380008,put object on surface
P01_03_NC_15,P01,P01_03,00:01:54.211,00:01:54.571,2741064,2749704,put object on surface
P01_04_NC_0,P01,P01_04,00:00:03.445,00:00:04.216,82680,101184,clang / clatter
P01_04_NC_1,P01,P01_04,00:00:11.216,00:00:11.570,269184,277680,clang / clatter
P01_04_NC_2,P01,P01_04,00:00:28.383,00:00:29.283,681192,702792,clang / clatter
P01_04_NC_3,P01,P01_04,00:00:37.049,00:00:37.674,889176,904176,clang / clatter
P01_04_NC_4,P01,P01_04,00:00:43.966,00:00:44.299,1055184,1063176,clang / clatter
P01_04_NC_5,P01,P01_04,00:00:45.070,00:00:45.383,1081680,1089192,clang / clatter
P01_04_NC_6,P01,P01_04,00:00:46.987,00:00:47.487,1127688,1139688,clang / clatter
P01_04_NC_7,P01,P01_04,00:01:05.258,00:01:06.883,1566192,1605192,clang / clatter
P01_04_NC_8,P01,P01_04,00:01:12.529,00:01:13.841,1740696,1772183,clang / clatter
P01_04_NC_9,P01,P01_04,00:01:21.070,00:01:21.799,1945679,1963176,clang / clatter
P01_04_NC_10,P01,P01_04,00:01:22.383,00:01:23.612,1977192,2006687,clang / clatter
P01_04_NC_11,P01,P01_04,00:01:24.279,00:01:25.529,2022696,2052696,clang / clatter
P01_04_NC_12,P01,P01_04,00:01:32.237,00:01:33.195,2213688,2236680,clang / clatter
P01_04_NC_13,P01,P01_04,00:01:33.737,00:01:36.174,2249688,2308176,clang / clatter
P01_04_NC_14,P01,P01_04,00:01:40.612,00:01:41.029,2414688,2424696,clang / clatter
P01_04_NC_15,P01,P01_04,00:00:01.070,00:00:01.904,25680,45696,clang / clatter
P01_05_NC_0,P01,P01_05,00:00:01.966,00:00:02.320,47184,55679,clang / clatter
P01_05_NC_1,P01,P01_05,00:00:05.883,00:00:06.195,141192,148680,clang / clatter
P01_05_NC_2,P01,P01_05,00:00:06.570,00:00:14.320,157680,343680,clang / clatter
P01_05_NC_3,P01,P01_05,00:00:14.804,00:00:16.487,355296,395687,clang / clatter
P01_05_NC_4,P01,P01_05,00:00:20.335,00:00:21.495,488040,515880,clang / clatter
P01_05_NC_5,P01,P01_05,00:00:23.620,00:00:24.620,566880,590880,clang / clatter
P01_05_NC_6,P01,P01_05,00:00:28.443,00:00:29.443,682632,706632,clang / clatter
P01_05_NC_7,P01,P01_05,00:00:30.945,00:00:31.237,742680,749688,clang / clatter
P01_05_NC_8,P01,P01_05,00:00:32.872,00:00:33.692,788928,808608,clang / clatter
P01_05_NC_9,P01,P01_05,00:00:35.029,00:00:39.030,840696,936720,clang / clatter
P01_05_NC_10,P01,P01_05,00:00:41.279,00:00:42.362,990696,1016688,clang / clatter
P01_05_NC_11,P01,P01_05,00:00:52.945,00:00:53.799,1270680,1291176,clang / clatter
P01_05_NC_12,P01,P01_05,00:00:58.713,00:00:59.824,1409112,1435776,clang / clatter
P01_05_NC_13,P01,P01_05,00:01:08.716,00:01:12.862,1649183,1748687,clang / clatter
P01_05_NC_14,P01,P01_05,00:01:13.820,00:01:15.216,1771679,1805183,clang / clatter
P01_05_NC_15,P01,P01_05,00:01:21.383,00:01:22.343,1953192,1976232,clang / clatter
P01_05_NC_16,P01,P01_05,00:01:23.913,00:01:24.553,2013912,2029272,clang / clatter
P01_05_NC_17,P01,P01_05,00:01:26.029,00:01:26.841,2064696,2084183,clang / clatter
P01_05_NC_18,P01,P01_05,00:01:31.258,00:01:31.695,2190192,2200680,clang / clatter
P01_05_NC_19,P01,P01_05,00:01:38.654,00:01:39.008,2367696,2376192,clang / clatter
P01_05_NC_20,P01,P01_05,00:01:42.466,00:01:42.826,2459184,2467824,clang / clatter
P01_05_NC_21,P01,P01_05,00:01:47.862,00:01:48.674,2588688,2608176,clang / clatter
P01_05_NC_22,P01,P01_05,00:02:12.850,00:02:13.471,3188400,3203304,put object on surface
P01_05_NC_23,P01,P01_05,00:02:21.354,00:02:22.079,3392496,3409896,put object on surface
P01_05_NC_24,P01,P01_05,00:02:30.986,00:02:31.370,3623663,3632880,clang / clatter
P01_05_NC_25,P01,P01_05,00:02:33.313,00:02:34.313,3679511,3703511,clang / clatter
P01_05_NC_26,P01,P01_05,00:02:44.299,00:02:44.627,3943176,3951048,clang / clatter
P01_05_NC_27,P01,P01_05,00:02:46.289,00:02:47.036,3990935,4008864,put object on surface
P01_05_NC_28,P01,P01_05,00:03:00.841,00:03:01.283,4340184,4350792,clang / clatter
P01_05_NC_29,P01,P01_05,00:03:03.284,00:03:04.625,4398816,4431000,put object on surface
P01_05_NC_30,P01,P01_05,00:03:19.351,00:03:19.711,4784424,4793064,clang / clatter
P01_05_NC_31,P01,P01_05,00:04:29.099,00:04:29.508,6458376,6468192,clang / clatter
P01_05_NC_32,P01,P01_05,00:04:48.093,00:04:48.379,6914232,6921096,clang / clatter
P01_05_NC_33,P01,P01_05,00:05:39.074,00:05:39.580,8137776,8149920,open / close drawe
P01_05_NC_34,P01,P01_05,00:05:45.319,00:05:46.403,8287656,8313672,open / close drawe
P01_05_NC_35,P01,P01_05,00:05:50.211,00:05:52.403,8405064,8457672,open / close drawe
P01_05_NC_36,P01,P01_05,00:06:13.819,00:06:14.319,8971656,8983656,put object on surface
P01_05_NC_37,P01,P01_05,00:06:33.370,00:06:33.736,9440880,9449664,clang / clatte
P01_05_NC_38,P01,P01_05,00:06:34.242,00:06:35.097,9461808,9482328,put object on surface
P01_05_NC_39,P01,P01_05,00:06:39.754,00:06:40.719,9594096,9617256,clang / clatte
P01_05_NC_40,P01,P01_05,00:06:41.418,00:06:42.491,9634032,9659784,clang / clatte
P01_05_NC_41,P01,P01_05,00:06:50.302,00:06:54.573,9847248,9949752,clang / clatte
P01_05_NC_42,P01,P01_05,00:07:06.479,00:07:07.618,10235496,10262832,clang / clatte
P01_05_NC_43,P01,P01_05,00:07:08.249,00:07:09.158,10277976,10299792,clang / clatte
P01_05_NC_44,P01,P01_05,00:07:22.172,00:07:23.065,10612128,10633560,clang / clatte
P01_05_NC_45,P01,P01_05,00:07:27.075,00:07:27.708,10729800,10744992,clang / clatte
P01_05_NC_46,P01,P01_05,00:07:41.760,00:07:42.333,11082240,11095992,clang / clatte
P01_05_NC_47,P01,P01_05,00:08:00.804,00:08:01.804,11539296,11563296,clang / clatte
P01_05_NC_48,P01,P01_05,00:08:10.402,00:08:10.859,11769648,11780616,clang / clatte
P01_05_NC_49,P01,P01_05,00:08:23.156,00:08:26.614,12075744,12158736,clang / clatte
P01_05_NC_50,P01,P01_05,00:08:28.156,00:08:28.696,12195744,12208704,clang / clatte
P01_05_NC_51,P01,P01_05,00:08:53.460,00:08:53.907,12803040,12813768,clang / clatter
P01_05_NC_52,P01,P01_05,00:09:00.365,00:09:00.899,12968760,12981576,put object on surface
P01_05_NC_53,P01,P01_05,00:09:04.184,00:09:05.913,13060416,13101912,clang / clatter
P01_05_NC_54,P01,P01_05,00:09:16.759,00:09:17.113,13362216,13370712,clang / clatter
P01_05_NC_55,P01,P01_05,00:09:45.053,00:09:45.865,14041272,14060760,put object on surface
P01_05_NC_56,P01,P01_05,00:10:35.046,00:10:36.407,15241104,15273768,clang / clatter
P01_05_NC_57,P01,P01_05,00:10:38.409,00:10:38.749,15321816,15329976,clang/clatter
P01_05_NC_58,P01,P01_05,00:10:46.615,00:10:49.126,15518760,15579024,background hissing sound
P01_05_NC_59,P01,P01_05,00:10:54.306,00:10:55.046,15703344,15721104,clang/clatter
P01_05_NC_60,P01,P01_05,00:11:00.327,00:11:01.367,15847848,15872808,clang/clatter
P01_05_NC_61,P01,P01_05,00:11:03.564,00:11:09.744,15925536,16073856,clang/clatter
P01_05_NC_62,P01,P01_05,00:11:11.369,00:11:11.669,16112856,16120056,clang/clatter
P01_05_NC_63,P01,P01_05,00:11:20.389,00:11:23.903,16329336,16413672,clang/clatter
P01_05_NC_64,P01,P01_05,00:11:24.465,00:11:26.098,16427160,16466351,clang/clatter
P01_05_NC_65,P01,P01_05,00:11:27.296,00:11:28.413,16495104,16521912,clang/clatter
P01_05_NC_66,P01,P01_05,00:11:31.681,00:11:32.021,16600344,16608503,clang/clatter
P01_05_NC_67,P01,P01_05,00:11:34.785,00:11:46.514,16674840,16956336,clang/clatter
P01_05_NC_68,P01,P01_05,00:12:02.820,00:12:13.352,17347680,17600448,background hissing sound
P01_05_NC_69,P01,P01_05,00:12:16.385,00:12:18.467,17673240,17723208,clang/clatter
P01_05_NC_70,P01,P01_05,00:12:41.574,00:12:42.674,18277776,18304176,background hissing sound
P01_05_NC_71,P01,P01_05,00:12:58.924,00:12:59.924,18694176,18718176,background hissing sound
P01_05_NC_72,P01,P01_05,00:13:01.483,00:13:03.348,18755592,18800352,clang/clatter
P01_05_NC_73,P01,P01_05,00:13:04.946,00:13:05.586,18838704,18854064,clang / clatter
P01_05_NC_74,P01,P01_05,00:13:27.925,00:13:28.222,19390200,19397328,clang / clatter
P01_05_NC_75,P01,P01_05,00:13:55.578,00:13:55.874,20053872,20060976,clang / clatter
P01_05_NC_76,P01,P01_05,00:14:00.571,00:14:02.011,20173704,20208264,clang / clatter
P01_05_NC_77,P01,P01_05,00:14:12.781,00:14:13.210,20466744,20477040,clang / clatter
P01_05_NC_78,P01,P01_05,00:14:19.110,00:14:19.630,20618640,20631120,clang / clatter
P01_05_NC_79,P01,P01_05,00:15:33.681,00:15:34.004,22408344,22416096,clang / clatter
P01_05_NC_80,P01,P01_05,00:15:46.205,00:15:46.914,22708920,22725936,clang / clatter
P01_05_NC_81,P01,P01_05,00:15:47.611,00:15:47.882,22742664,22749168,clang / clatter
P01_05_NC_82,P01,P01_05,00:15:48.677,00:15:48.963,22768248,22775112,clang / clatter
P01_05_NC_83,P01,P01_05,00:16:02.361,00:16:02.673,23096664,23104152,clang / clatter
P01_05_NC_84,P01,P01_05,00:16:08.309,00:16:08.749,23239416,23249976,clang / clatter
P01_05_NC_85,P01,P01_05,00:16:26.684,00:16:26.924,23680416,23686176,put object on surface
P01_05_NC_86,P01,P01_05,00:16:43.350,00:16:43.630,24080400,24087120,put object on surface
P01_05_NC_87,P01,P01_05,00:16:50.309,00:16:50.609,24247416,24254616,put object on surface
P01_05_NC_88,P01,P01_05,00:17:05.954,00:17:06.278,24622896,24630672,clang / clatter
P01_05_NC_89,P01,P01_05,00:17:11.725,00:17:12.025,24761399,24768600,put object on surface
P01_05_NC_90,P01,P01_05,00:17:25.371,00:17:25.651,25088904,25095624,put object on surface
P01_05_NC_91,P01,P01_05,00:17:45.072,00:17:45.332,25561727,25567968,put object on surface
P01_05_NC_92,P01,P01_05,00:18:02.045,00:18:02.566,25969080,25981584,clang / clatter
P01_05_NC_93,P01,P01_05,00:18:07.019,00:18:07.399,26088456,26097575,clang / clatter
P01_05_NC_94,P01,P01_05,00:18:08.316,00:18:08.616,26119584,26126784,put object on surface
P01_05_NC_95,P01,P01_05,00:18:34.254,00:18:34.508,26742095,26748192,clang / clatter
P01_05_NC_96,P01,P01_05,00:18:42.639,00:18:42.841,26943335,26948183,clang / clatter
P01_05_NC_97,P01,P01_05,00:19:01.420,00:19:02.102,27394080,27410448,clang / clatter
P01_05_NC_98,P01,P01_05,00:19:05.244,00:19:05.584,27485855,27494016,clang / clatter
P01_05_NC_99,P01,P01_05,00:19:09.272,00:19:09.672,27582528,27592128,clang / clatter
P01_05_NC_100,P01,P01_05,00:19:23.647,00:19:23.911,27927528,27933864,put object on surface
P01_05_NC_101,P01,P01_05,00:19:30.855,00:19:31.523,28100520,28116551,clang / clatter
P01_05_NC_102,P01,P01_05,00:19:35.960,00:19:36.433,28223040,28234392,put object on surface
P01_05_NC_103,P01,P01_05,00:19:41.866,00:19:42.226,28364784,28373424,clang / clatter
P01_05_NC_104,P01,P01_05,00:19:43.553,00:19:43.835,28405272,28412040,clang / clatter
P01_05_NC_105,P01,P01_05,00:19:52.840,00:19:53.580,28628159,28645920,clang / clatter
P01_05_NC_106,P01,P01_05,00:19:59.595,00:19:59.960,28790280,28799040,clang / clatter
P01_05_NC_107,P01,P01_05,00:20:07.337,00:20:08.337,28976088,29000088,clang / clatter
P01_05_NC_108,P01,P01_05,00:20:18.856,00:20:19.736,29252544,29273664,clang / clatter
P01_05_NC_109,P01,P01_05,00:20:59.309,00:21:00.049,30223416,30241176,clang / clatter
P01_05_NC_110,P01,P01_05,00:21:00.809,00:21:04.173,30259416,30340152,clang / clatter
P01_05_NC_111,P01,P01_05,00:21:04.788,00:21:05.166,30354912,30363984,clang / clatter
P01_05_NC_112,P01,P01_05,00:03:13.587,00:06:19.141,4646088,9099384,background noise
P01_06_NC_0,P01,P01_06,00:00:16.633,00:00:17.845,399192,428280,clang / clatter
P01_06_NC_1,P01,P01_06,00:00:21.900,00:00:23.261,525600,558264,clang / clatter
P01_06_NC_2,P01,P01_06,00:00:24.390,00:00:24.869,585360,596856,clang / clatter
P01_06_NC_3,P01,P01_06,00:00:26.737,00:00:27.737,641688,665688,clang / clatter
P01_06_NC_4,P01,P01_06,00:00:30.779,00:00:31.488,738696,755712,clang / clatter
P01_06_NC_5,P01,P01_06,00:00:38.738,00:00:39.487,929712,947688,clang / clatter
P01_06_NC_6,P01,P01_06,00:00:41.154,00:00:41.534,987696,996816,clang / clatter
P01_06_NC_7,P01,P01_06,00:01:21.174,00:01:22.174,1948176,1972176,clang / clatter
P01_06_NC_8,P01,P01_06,00:02:04.126,00:02:04.429,2979024,2986296,zip sound
P01_06_NC_9,P01,P01_06,00:02:11.475,00:02:11.767,3155400,3162408,clang / clatter
P01_06_NC_10,P01,P01_06,00:03:02.539,00:03:02.785,4380936,4386840,clang / clatter
P01_06_NC_11,P01,P01_06,00:03:05.556,00:03:05.850,4453344,4460400,clang / clatter
P01_06_NC_12,P01,P01_06,00:03:15.288,00:03:16.746,4686912,4721904,clang / clatter
P01_06_NC_13,P01,P01_06,00:03:17.309,00:03:17.642,4735416,4743408,clang / clatter
P01_06_NC_14,P01,P01_06,00:03:36.996,00:03:37.559,5207904,5221416,clang / clatter
P01_06_NC_15,P01,P01_06,00:04:04.414,00:04:04.705,5865936,5872920,clang / clatter
P01_06_NC_16,P01,P01_06,00:04:05.226,00:04:07.955,5885424,5950920,clang / clatter
P01_06_NC_17,P01,P01_06,00:04:29.809,00:04:30.080,6475416,6481920,clang / clatter
P01_06_NC_18,P01,P01_06,00:05:06.653,00:05:07.493,7359672,7379832,clang / clatter
P01_06_NC_19,P01,P01_06,00:05:14.143,00:05:15.289,7539431,7566936,clang / clatter
P01_06_NC_20,P01,P01_06,00:05:20.080,00:05:20.330,7681920,7687920,clang / clatter
P01_06_NC_21,P01,P01_06,00:06:19.735,00:06:20.360,9113640,9128640,clang / clatter
P01_06_NC_22,P01,P01_06,00:06:20.819,00:06:21.152,9139656,9147648,clang / clatter
P01_06_NC_23,P01,P01_06,00:06:21.694,00:06:22.048,9160656,9169152,clang / clatter
P01_06_NC_24,P01,P01_06,00:06:37.923,00:06:38.423,9550152,9562152,clang / clatter
